,kepid,kepoi_name,kepler_name,koi_kepmag,system,# TTV,# non TTV,size_sys,circumbinary_flag,# stars,eccentricity
45,5792202,K00841.03,Kepler-27 d,15.855,Kepler-27,11,17,28,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
46,5794379,K00842.01,Kepler-241 b,15.389,Kepler-241,0,2,2,0,1,"[None, None]"
47,6276477,K00849.01,Kepler-701 b,15.018,Kepler-701,0,1,1,0,1,[None]
48,6948054,K00869.01,Kepler-245 b,15.599,Kepler-245,3,1,4,0,1,"[None, None, None, None]"
49,6948054,K00869.03,Kepler-245 c,15.599,Kepler-245,3,1,4,0,1,"[None, None, None, None]"
50,6587280,K00857.01,Kepler-243 b,15.086,Kepler-243,0,2,2,0,1,"[None, None]"
51,6685526,K00861.01,Kepler-707 b,15.001,Kepler-707,0,1,1,0,1,[None]
52,6784235,K00863.01,Kepler-708 b,15.533,Kepler-708,0,1,1,0,1,[None]
53,6849310,K00864.02,Kepler-244 d,15.604,Kepler-244,0,3,3,0,1,"[None, None, None]"
54,6849310,K00864.03,Kepler-244 c,15.604,Kepler-244,0,3,3,0,1,"[None, None, None]"
55,7366258,K00880.03,Kepler-82 e,15.158,Kepler-82,5,11,16,0,1,"[0.0033, 0.007, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0014]"
56,7366258,K00880.04,Kepler-82 d,15.158,Kepler-82,5,11,16,0,1,"[None, 0.0014, 0.0033, 0.007, None, None, None, None, None, None, None, None, None, None, None, None]"
57,6948054,K00869.04,Kepler-245 e,15.599,Kepler-245,3,1,4,0,1,"[None, None, None, None]"
58,6949607,K00870.01,Kepler-28 b,15.036,Kepler-28,8,21,29,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
59,6949607,K00870.02,Kepler-28 c,15.036,Kepler-28,8,21,29,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
60,7109675,K00872.02,Kepler-46 d,15.262,Kepler-46,3,11,14,0,1,"[0.042, None, None, None, None, None, None, 0.11, None, 0.01, None, None, None, 0.0146]"
61,7118364,K00873.01,Kepler-710 b,15.024,Kepler-710,0,1,1,0,1,[None]
62,7134976,K00874.01,Kepler-246 b,15.024,Kepler-246,0,2,2,0,1,"[None, None]"
63,7135852,K00875.01,Kepler-1729 b,15.692,Kepler-1729,0,1,1,0,1,[None]
64,7287995,K00877.01,Kepler-81 b,15.019,Kepler-81,2,11,13,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None]"
65,7287995,K00877.02,Kepler-81 c,15.019,Kepler-81,2,11,13,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None]"
66,5094751,K00123.01,Kepler-109 b,12.365,Kepler-109,1,13,14,0,1,"[0.11, 0.098, None, None, None, None, None, None, None, None, None, None, None, None]"
67,7678434,K00892.02,Kepler-716 c,15.193,Kepler-716,0,2,2,0,1,"[None, None]"
68,7685981,K00893.01,Kepler-717 b,15.662,Kepler-717,0,1,1,0,1,[None]
69,7434875,K00884.03,Kepler-247 b,15.067,Kepler-247,3,0,3,0,1,"[None, None, None]"
70,7455287,K00886.01,Kepler-54 b,15.847,Kepler-54,5,10,15,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0]"
71,7455287,K00886.02,Kepler-54 c,15.847,Kepler-54,5,10,15,0,1,"[None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None, None]"
72,7458762,K00887.01,Kepler-713 b,15.031,Kepler-713,0,1,1,0,1,[None]
73,8150320,K00904.01,Kepler-55 d,15.791,Kepler-55,5,11,16,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
74,7825899,K00896.02,Kepler-248 b,15.258,Kepler-248,0,2,2,0,1,"[None, None]"
75,7870390,K00898.01,Kepler-83 b,15.777,Kepler-83,2,11,13,0,2,"[None, None, None, None, None, None, None, None, None, None, None, None, None]"
76,7870390,K00898.02,Kepler-83 d,15.777,Kepler-83,2,11,13,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None]"
77,5094751,K00123.02,Kepler-109 c,12.365,Kepler-109,1,13,14,0,1,"[0.11, 0.098, None, None, None, None, None, None, None, None, None, None, None, None]"
78,7870390,K00898.03,Kepler-83 c,15.777,Kepler-83,2,11,13,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None]"
79,8490993,K00911.01,Kepler-722 b,15.399,Kepler-722,0,2,2,0,1,"[None, None]"
80,8505670,K00912.01,Kepler-252 c,15.058,Kepler-252,0,2,2,0,1,"[None, None]"
81,8505670,K00912.02,Kepler-252 b,15.058,Kepler-252,0,2,2,0,1,"[None, None]"
82,8150320,K00904.03,Kepler-55 c,15.791,Kepler-55,5,11,16,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
83,8150320,K00904.04,Kepler-55 e,15.791,Kepler-55,5,11,16,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
84,8226994,K00906.01,Kepler-250 c,15.46,Kepler-250,0,3,3,0,1,"[None, None, None]"
85,8226994,K00906.02,Kepler-250 d,15.46,Kepler-250,0,3,3,0,1,"[None, None, None]"
86,8247638,K00907.01,Kepler-251 c,15.223,Kepler-251,0,4,4,0,1,"[None, None, None, None]"
87,8247638,K00907.03,Kepler-251 b,15.223,Kepler-251,0,4,4,0,1,"[None, None, None, None]"
88,8247638,K00907.04,Kepler-251 e,15.223,Kepler-251,0,4,4,0,1,"[None, None, None, None]"
89,8414716,K00910.01,Kepler-721 b,15.651,Kepler-721,0,1,1,0,1,[None]
90,8689031,K00920.01,Kepler-726 b,15.067,Kepler-726,0,1,1,0,1,[None]
91,8689373,K00921.01,Kepler-253 c,15.532,Kepler-253,0,3,3,0,1,"[None, None, None]"
92,8689373,K00921.02,Kepler-253 d,15.532,Kepler-253,0,3,3,0,1,"[None, None, None]"
93,8689373,K00921.03,Kepler-253 b,15.532,Kepler-253,0,3,3,0,1,"[None, None, None]"
94,8826878,K00922.01,Kepler-727 b,15.365,Kepler-727,0,1,1,0,1,[None]
95,9466668,K00939.01,Kepler-256 c,15.065,Kepler-256,0,4,4,0,1,"[None, None, None, None]"
96,9466668,K00939.02,Kepler-256 d,15.065,Kepler-256,0,4,4,0,1,"[None, None, None, None]"
